iter	Passed	Remaining
885	76733	9873
886	76814	9785
887	76887	9697
888	76970	9610
889	77055	9523
890	77134	9436
891	77212	9348
892	77292	9261
893	77373	9174
894	77450	9086
895	77530	8999
896	77604	8911
897	77685	8824
898	77769	8737
899	77854	8650
900	77939	8563
901	78014	8476
902	78105	8390
903	78188	8303
904	78275	8216
905	78355	8129
906	78438	8042
907	78517	7955
908	78598	7868
909	78681	7781
910	78758	7694
911	78837	7607
912	78922	7520
913	79002	7433
914	79091	7347
915	79171	7260
916	79252	7173
917	79334	7086
918	79420	7000
919	79508	6913
920	79590	6826
921	79672	6740
922	79760	6653
923	79838	6566
924	79925	6480
925	80016	6394
926	80098	6307
927	80182	6221
928	80272	6134
929	80352	6048
930	80429	5960
931	80513	5874
932	80603	5788
933	80689	5701
934	80783	5615
935	80868	5529
936	80944	5442
937	81026	5355
938	81110	5269
939	81192	5182
940	81274	5095
941	81362	5009
942	81451	4923
943	81532	4836
944	81625	4750
945	81701	4663
946	81789	4577
947	81873	4490
948	81958	4404
949	82041	4317
950	82133	4231
951	82210	4145
952	82294	4058
953	82378	3972
954	82466	3885
955	82545	3799
956	82631	3712
957	82782	3629
958	82884	3543
959	82977	3457
960	83066	3371
961	83149	3284
962	83234	3198
963	83321	3111
964	83406	3025
965	83486	2938
966	83560	2851
967	83643	2765
968	83720	2678
969	83800	2591
970	83894	2505
971	83979	2419
972	84063	2332
973	84148	2246
974	84230	2159
975	84316	2073
976	84393	1986
977	84476	1900
978	84557	1813
979	84647	1727
980	84731	1641
981	84822	1554
982	84910	1468
983	84993	1382
984	85080	1295
985	85168	1209
986	85245	1122
987	85324	1036
988	85404	949
989	85489	863
990	85574	777
991	85668	690
992	85747	604
993	85832	518
994	85915	431
995	85995	345
996	86073	258
997	86152	172
998	86231	86
999	86309	0
